Class,Data
01,"-281.16055,50.887383,-0.5253238,5.725047,-17.442108,7.1511793,-5.3882236,-10.956383,-11.1561365,6.998269,-14.469384,14.460908,-13.524048,1.3165962,-1.4970201,-6.0257387,-3.559752,0.58763814,-7.863265,2.3325906"
01,"-356.10168,28.664907,-4.444032,22.832178,-20.601639,-1.5409355,-1.8399283,-18.964598,-4.1635103,-4.503669,-17.387403,8.851913,-12.013456,10.569193,-7.264772,0.95872164,-2.5733414,4.1883636,-9.001492,4.635903"
01,"-310.3004,16.936565,-12.247459,4.3115735,-33.35635,-0.42358235,-3.8837874,-12.598175,-12.162481,4.119343,-16.767221,11.5309515,-17.040344,8.97795,-4.6587443,-2.1507168,-4.3922634,1.5960481,-8.053504,5.4074736"
01,"-345.96567,13.80856,-7.501452,23.54549,-25.276972,1.2810148,-5.211309,-13.233466,-7.290369,1.1681683,-18.436073,13.010931,-11.353002,9.321829,-6.250804,-0.6433441,-0.779914,3.186249,-8.833999,5.690235"
01,"-322.21774,26.890942,-10.011258,23.128284,-23.672903,-3.9114194,-6.931564,-19.698063,-11.117148,-0.009599166,-19.638369,9.075277,-15.928468,8.570925,-4.553404,-2.4244971,-2.2615297,-0.66385424,-9.731123,4.6788354"
01,"-350.8132,-2.0614812,-3.4187667,20.381252,-23.747889,-1.5225023,-5.013699,-15.160008,-6.5107474,-1.5943309,-17.031218,13.173448,-14.226654,7.2235026,-3.161206,-0.07560053,-2.604317,2.5135176,-9.65299,4.8835597"
01,"-294.89175,49.53652,3.980774,40.89772,-8.329058,-6.892628,5.854905,-21.143162,-7.617072,0.45373073,-19.90894,12.374559,-15.234614,8.000044,-7.3460608,-3.5671666,-1.3590503,-3.7045386,-12.812356,2.2895758"
01,"-358.72388,21.980139,-3.0597184,30.210419,-19.676367,-2.5131557,0.2146063,-16.237656,-6.736622,-0.71829104,-18.966452,11.041652,-14.626704,8.274784,-2.8421876,-3.0331678,-1.519415,0.5105934,-10.086146,3.5743988"
01,"-346.83594,30.508593,-11.35418,29.085905,-19.537165,-7.987213,-3.2796671,-11.690614,-10.775052,-0.6430059,-19.311008,12.961574,-16.461063,7.4605,-3.1354227,-2.6294992,-2.6021109,-0.8603387,-8.42812,-1.5843743"
01,"-355.10983,24.69106,-7.649594,21.964685,-20.113602,-3.131342,-3.785569,-13.993307,-8.093744,-4.7374735,-17.773914,13.83907,-13.287445,10.720181,-5.8592577,-1.2125175,-1.237394,-0.3334644,-6.009803,4.013571"
01,"-336.82895,32.9722,-1.642297,21.299324,-28.859892,-3.5140252,-1.7893736,-19.345242,-8.361019,-3.8706057,-21.388058,10.579122,-15.1013,11.090344,-7.036362,-0.32301292,-2.9040616,2.2840128,-7.9140596,6.583176"
01,"-267.94778,49.324642,-0.33598247,33.10866,-9.440187,-8.744711,1.3557324,-15.574243,-8.989096,2.2724867,-16.32954,14.264599,-17.05286,6.7028885,-7.070399,-2.279466,-3.643136,-2.5154347,-13.642478,-0.56344575"
01,"-255.02478,31.746315,-11.546887,27.574446,-14.054842,-1.5714217,-2.9681609,-13.939947,-7.7602553,4.196148,-19.002825,19.413624,-16.392683,8.840387,-5.518442,-4.1678643,-2.709651,-1.4362293,-11.514494,3.2563143"
01,"-340.59412,16.08008,2.28835,29.201946,-22.14673,1.7400895,-0.42953685,-19.12013,-11.488712,-6.222144,-18.599552,14.031818,-18.23171,10.919821,-6.213905,-1.7974629,-0.22346963,0.6146676,-6.265075,6.3703976"
01,"-277.8499,52.34133,-10.67629,21.533821,-14.747773,-1.439061,1.9096951,-17.774406,-7.5325274,4.607472,-14.057593,16.902489,-14.505046,9.672736,-5.455664,-6.2179775,-2.8317258,-1.6961231,-10.977575,-0.4509674"
01,"-321.36353,21.412935,-9.431367,15.52311,-34.45049,-3.232763,-5.5506315,-19.063633,-9.850673,0.69457495,-17.786844,10.824129,-11.577818,8.653798,-2.5456915,-2.956706,-3.0234823,2.2278898,-8.987319,10.127732"
01,"-318.59085,51.94138,-10.273737,19.458876,-27.721617,-5.023421,-1.0598449,-23.064043,-3.121163,-2.3719969,-13.885153,11.106355,-16.94746,15.787248,-10.984856,-4.051308,-4.337018,1.9660842,-10.047241,3.9149985"
01,"-380.09763,43.160217,2.9419575,22.95372,-15.130208,0.57047915,0.4520714,-21.920769,-8.938712,-3.3109486,-23.34363,7.740365,-13.976966,8.813984,-4.681949,-4.5910764,0.7641846,-0.72571033,-6.608475,6.0664253"
01,"-331.20074,54.45346,-12.35657,15.588269,-29.4909,-5.231889,-0.07473249,-25.770084,-8.71329,1.886545,-21.048445,9.749939,-17.647047,7.616952,-2.94728,-3.3327546,-5.475551,-2.0203595,-9.138155,-1.0799284"
01,"-363.291,15.517799,4.2675514,20.148993,-17.082499,0.8284879,-0.41318652,-11.017819,-10.221511,-3.982551,-21.581804,10.603728,-11.735082,9.729718,-6.7250204,-0.274401,-1.6197659,1.7340457,-8.141532,5.8198752"
01,"-336.7734,34.34498,-5.9092607,20.684908,-25.281664,-2.9773672,-5.260228,-20.391323,-8.291718,-1.9908535,-22.664322,12.195159,-16.66702,12.257738,-4.0175176,-2.0732617,-2.4696186,1.7558334,-9.970214,7.2208405"
01,"-294.6769,20.793829,-12.228403,12.398739,-36.91244,-3.3857934,-6.8575053,-18.393522,-9.7219515,-0.116247244,-17.388287,10.085942,-13.327134,10.671855,-4.0689244,-1.1025306,-3.228165,3.6293397,-7.9489703,8.989194"
01,"-286.01633,58.177513,-21.6459,18.976309,-24.074493,-2.3146858,-2.28296,-29.60978,-5.61858,1.6266937,-14.77,13.625019,-15.946,7.5009675,-8.123189,-3.0330904,-3.287201,-2.9332552,-10.656316,0.19231825"
01,"-322.03677,38.453396,-15.290866,15.1580925,-30.663872,-3.5586078,-5.3275547,-21.635015,-7.7999597,0.5093833,-20.534777,13.079387,-17.554731,9.994016,-5.1631985,-6.3008494,-3.3660302,-0.9809341,-10.569305,2.5921893"
01,"-312.90344,30.323626,-16.398424,13.940786,-23.478968,-9.364009,-5.81603,-17.412212,-9.548992,5.6326985,-20.261656,16.727003,-12.168277,6.2460036,-0.9460885,-6.3048077,-3.6961243,0.6764852,-9.165375,4.1460247"
01,"-333.0154,31.473412,-10.860516,11.302839,-33.83879,-1.9527915,-2.8023853,-21.1154,-7.7682924,-1.586603,-16.104906,12.568838,-15.352463,10.697328,-3.0380564,-1.4172522,-4.8000054,2.439956,-11.954203,3.051923"
01,"-316.85034,36.17176,-0.25340223,12.719762,-18.716297,7.492697,-0.84216434,-6.6492014,-11.7147455,4.9190645,-15.389021,12.204157,-10.095662,2.5063143,1.5012871,-2.0539963,-5.1912203,1.6944941,-9.379254,0.059086286"
01,"-430.61932,92.99373,-5.8899217,19.84328,-14.690136,0.12301757,-5.565192,-17.438963,-8.313003,3.8311315,-13.186357,2.4198365,-7.0398817,1.1388775,-5.0943975,-0.87719226,-1.5979824,-4.961534,-5.31328,-0.62180996"
01,"-371.7861,75.735954,-17.40537,12.119663,-13.362077,1.5838386,-19.794167,-19.635963,-6.0819125,2.3423395,-12.543473,6.9478045,-9.118293,-1.5678222,0.41634423,-5.4287868,-5.8868666,4.482976,-9.272412,4.9069486"
